,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
38,17,36705,269430,1389,6,16117,3022,12583,41762,32650,0,0,40,44689,0
39,20,36705,257509,15784,9,16117,6112,7581,41762,32650,0,0,40,44689,0
40,65,36705,136384,2657,14,22379,8981,19716,41762,32650,0,0,50,44689,1
41,44,1695,120277,2061,11,22379,5504,19716,41762,32650,0,0,45,44689,1
42,36,36705,465326,15784,9,22379,1490,19716,41762,32650,0,0,40,44689,0
43,29,36705,103634,1812,7,22379,4923,19716,41762,32650,0,0,40,44689,0
44,20,1981,138371,10878,10,16117,1490,7581,41762,32650,0,0,32,44689,0
45,28,36705,242832,2061,11,22379,8981,2331,41762,16192,0,0,36,44689,1
46,39,36705,290208,955,4,22379,6112,19716,41762,32650,0,0,40,951,0
47,54,36705,186272,10878,10,22379,2355,19716,41762,32650,3908,0,50,44689,0
48,52,36705,201062,1812,7,1530,242,12583,4685,16192,0,0,18,44689,0
49,56,1695,131916,15784,9,1518,6086,12583,41762,16192,0,0,50,44689,0
50,18,36705,54440,10878,10,16117,4923,7581,41762,32650,0,0,20,44689,0
51,39,36705,280215,15784,9,6633,2072,7581,4685,32650,0,0,40,44689,0
52,21,36705,214399,10878,10,16117,4923,7581,41762,16192,0,1721,24,44689,0
53,22,36705,54164,15784,9,16117,4923,12583,41762,32650,14084,0,60,44689,1
54,38,36705,219446,756,5,628,6086,12583,41762,32650,0,0,54,951,0
55,21,36705,110677,10878,10,16117,5611,7581,41762,16192,0,0,40,44689,0
56,63,36705,145985,15784,9,22379,6112,19716,41762,32650,0,0,40,44689,0
57,34,3136,382078,8025,13,22379,6086,19716,41762,32650,3103,0,50,44689,1
58,42,1695,170721,15784,9,22379,6086,19716,41762,32650,5178,0,50,44689,1
59,33,36705,269705,15784,9,22379,2072,19716,41762,32650,0,0,40,44689,0
60,30,36705,101135,8025,13,16117,6086,12583,41762,16192,0,0,50,44689,0
61,39,36705,118429,10878,10,6633,5504,12583,41762,32650,0,0,40,44689,0
62,26,36705,31208,2657,14,16117,6086,12583,41762,16192,0,0,40,44689,0
63,33,36705,281384,15784,9,16117,3022,7581,41762,16192,0,0,40,44689,0
64,47,3136,171807,15784,9,6633,5611,12583,41762,16192,0,0,40,44689,0
65,41,36705,109912,8025,13,16117,4923,12583,41762,16192,0,0,40,44689,0
66,41,1695,445382,1601,12,22379,6112,19716,41762,32650,15024,0,60,44689,1
67,19,36705,105460,10878,10,16117,4923,7581,41762,32650,0,0,20,44689,0
68,46,36705,170338,15784,9,1530,2355,12583,41762,32650,0,0,40,44689,0
69,43,36705,102606,15784,9,22379,5504,19716,41762,32650,0,0,48,44689,0
70,55,36705,323887,10878,10,22379,6086,19716,41762,32650,15024,0,45,44689,1
71,46,36705,175622,2061,11,22379,1446,19716,41762,32650,0,0,40,44689,0
72,30,36705,229636,15784,9,22379,3022,19716,41762,32650,0,0,40,951,0
73,21,36705,388946,10878,10,1530,2072,12583,41762,16192,0,0,40,44689,0
74,46,36705,269034,10878,10,22379,6112,19716,406,32650,0,0,40,103,0
75,17,36705,165361,1389,6,16117,8981,7581,41762,32650,0,0,40,44689,0
76,41,36705,75012,15784,9,22379,3022,19716,41762,32650,0,0,50,44689,0
77,69,1695,174379,15784,9,22379,5504,19716,41762,32650,0,0,30,44689,0
78,50,36705,312477,15784,9,22379,2355,19716,41762,32650,0,0,40,44689,0
79,20,36705,72055,10878,10,16117,5611,12583,41762,16192,0,0,40,44689,0
80,45,1695,67001,10878,10,22379,3022,19716,41762,32650,0,0,50,44689,0
81,23,36705,213734,8025,13,16117,6086,12583,41762,32650,0,0,40,44689,0
82,24,36705,83141,10878,10,1530,4923,12583,41762,32650,0,1876,40,44689,0
83,44,1695,223881,15784,9,22379,6112,19716,41762,32650,99999,0,50,44689,1
84,31,3862,113752,10878,10,22379,6112,19716,41762,32650,0,0,50,44689,0
85,43,36705,170482,15784,9,1530,3022,12583,41762,16192,0,0,44,44689,0
86,20,1432,244689,1812,7,16117,4923,7581,41762,16192,0,0,10,44689,0
87,55,36705,160631,15784,9,22379,5504,19716,41762,32650,0,0,56,44689,1
88,24,1432,228724,10878,10,16117,15,12583,41762,32650,0,0,40,44689,0
89,41,36705,38434,2657,14,22379,8981,2331,41762,16192,7688,0,10,44689,1
90,59,36705,292946,8025,13,16117,6086,12583,41762,16192,0,0,25,44689,0
91,49,1432,77443,955,4,16117,4923,12583,4685,32650,0,0,20,44689,0
92,33,36705,176410,2657,14,22379,8981,2331,41762,16192,5178,0,10,44689,1
93,59,1432,98984,8025,13,6633,5611,12583,41762,32650,0,0,40,44689,0
94,34,36705,198751,2657,14,16117,4923,12583,470,32650,0,0,40,44689,0
95,20,36705,479296,15784,9,16117,2072,7581,41762,32650,0,0,40,44689,0
96,25,36705,235218,8025,13,16117,6086,7581,41762,16192,0,0,40,44689,0
97,49,36705,164877,1389,6,22379,1490,19716,41762,32650,0,0,40,44689,0
98,59,36705,272087,15784,9,22379,2355,19716,41762,32650,0,0,40,44689,1
99,20,36705,169699,15784,9,16117,5611,12583,41762,16192,0,0,40,44689,0
100,51,36705,189762,10878,10,22379,8981,2331,41762,16192,0,0,18,44689,0
101,33,36705,202191,10878,10,16117,5611,5125,4685,16192,0,0,35,44689,0
102,22,36705,212261,10878,10,16117,2355,7581,4685,32650,0,0,39,44689,0
103,58,3862,301568,756,5,1518,4923,12583,41762,16192,0,0,40,44689,0
104,52,3136,155233,15784,9,1518,5611,5125,41762,16192,0,0,28,44689,0
105,36,36705,75826,1389,6,1530,3022,12583,41762,16192,0,0,40,44689,0
106,41,3136,201520,15784,9,22379,983,19716,41762,32650,0,0,40,44689,0
107,28,36705,154236,15784,9,16117,2355,7581,41762,32650,2597,0,40,44689,0
108,19,36705,289227,10878,10,16117,2072,7581,4685,32650,0,0,16,44689,0
109,18,36705,217439,15784,9,16117,4923,12583,41762,16192,0,0,28,44689,0
110,18,36705,179020,15784,9,16117,3022,7581,41762,16192,0,0,48,44689,0
111,28,36705,149624,10878,10,22379,6112,19716,41762,32650,0,0,40,44689,0
112,29,36705,337266,2061,11,22379,6086,19716,41762,32650,0,0,40,44689,1
113,20,36705,30796,15784,9,16117,8981,7581,41762,16192,0,0,20,44689,0
114,40,36705,103541,10878,10,22379,2072,19716,41762,32650,0,0,40,44689,0
115,26,36705,206721,15784,9,16117,2072,5125,41762,32650,0,0,40,44689,0
116,46,36705,96773,15784,9,22379,6112,19716,41762,32650,0,0,40,44689,0
117,23,36705,200967,1812,7,16117,4923,12583,41762,16192,0,0,24,44689,0
118,44,36705,180019,15784,9,628,5611,5125,41762,16192,0,0,40,44689,0
119,43,36705,179866,8025,13,6633,5504,5125,41762,16192,0,0,40,44689,1
120,31,3136,198770,8025,13,6633,8981,5125,41762,16192,0,0,60,44689,0
121,18,36705,219256,10878,10,16117,5504,7581,41762,16192,0,0,25,44689,0
122,19,36705,248730,10878,10,16117,983,7581,41762,32650,0,0,30,44689,0
123,41,36705,110732,10878,10,6633,1446,12583,41762,16192,0,0,40,44689,0
124,41,36705,181020,15784,9,6633,2072,5125,41762,16192,0,0,40,44689,0
125,69,36705,183791,15784,9,6633,5611,12583,41762,16192,0,0,25,44689,0
126,48,1432,42972,594,16,22379,8981,2331,41762,16192,0,0,40,44689,1
127,28,36705,134813,15784,9,16117,8981,7581,41762,32650,0,0,40,44689,0
128,27,3862,115438,15784,9,22379,6112,19716,41762,32650,0,0,60,37,1
129,41,36705,239296,2657,14,22379,8981,19716,41762,32650,0,2415,50,44689,1
130,41,36705,428420,10878,10,22379,5611,19716,41762,32650,0,0,40,44689,0
131,24,36705,247846,15784,9,16117,6112,5125,4685,16192,0,0,40,44689,0
132,20,36705,334105,15784,9,16117,8981,12583,41762,16192,0,0,40,44689,0
133,42,1695,100793,594,16,22379,8981,19716,41762,32650,0,0,41,44689,1
134,57,36705,244478,15784,9,22379,6112,19716,4685,32650,0,0,48,44689,0
135,30,36705,142921,1601,12,16117,8981,12583,41762,16192,0,0,40,44689,0
136,36,36705,182863,15784,9,22379,5504,19716,41762,32650,0,0,60,44689,1
137,49,36705,171128,955,4,22379,3022,19716,4685,32650,0,0,40,44689,0
138,33,36705,145402,15784,9,22379,3022,2331,41762,16192,0,0,35,44689,0
139,23,36705,306309,1389,6,22379,1490,19716,41762,32650,0,0,40,44689,0
140,46,36705,83822,2657,14,22379,8981,19716,41762,32650,0,0,40,44689,0
141,18,36705,262118,10878,10,16117,5611,7581,1519,16192,0,0,22,206,0
142,40,36705,155972,15784,9,22379,6086,19716,41762,32650,7688,0,55,44689,1
143,43,1695,214503,15784,9,22379,6086,19716,41762,32650,0,1887,45,44689,1
144,34,36705,159303,2657,14,16117,8981,7581,41762,16192,0,0,30,44689,0
145,47,3862,174995,15784,9,1518,6086,12583,41762,16192,0,0,30,44689,0
146,44,36705,26669,2061,11,1518,6086,5125,41762,16192,0,0,30,44689,0
147,33,36705,177727,15784,9,22379,5504,19716,41762,32650,0,0,40,44689,1
148,55,36705,124771,8025,13,22379,6086,19716,41762,32650,15024,0,50,44689,1
149,19,36705,456736,15784,9,16117,5504,12583,41762,32650,2907,0,30,44689,0
150,28,36705,216604,10878,10,16117,4923,12583,4685,32650,0,0,14,44689,0
151,27,36705,221561,1812,7,22379,4923,2331,4685,16192,0,0,32,44689,0
152,50,36705,114564,955,4,22379,3022,19716,41762,32650,0,0,20,44689,0
153,22,36705,315476,1812,7,16117,6112,5125,41762,32650,0,0,40,44689,0
154,40,1981,67874,8025,13,22379,5611,19716,41762,32650,0,1887,45,44689,1
155,25,36705,126110,10878,10,16117,5611,7581,41762,16192,0,0,40,44689,0
156,26,3136,102264,15784,9,16117,6112,12583,41762,32650,0,0,40,44689,0
157,22,36705,537222,8025,13,16117,5504,12583,41762,32650,0,0,25,44689,0
158,42,36705,113732,10878,10,16117,2072,5125,4685,16192,0,625,40,44689,0
159,38,1695,93225,8025,13,6633,6086,12583,41762,32650,0,0,40,44689,0
160,55,36705,43064,1812,7,22379,4923,19716,41762,32650,0,0,30,44689,0
161,32,36705,136921,15784,9,22379,5504,19716,41762,32650,0,0,40,44689,0
162,22,36705,388885,15784,9,22379,6112,19716,41762,32650,0,0,45,44689,0
163,29,36705,142249,8025,13,16117,5504,7581,41762,32650,0,0,40,44689,0
164,46,1981,56841,2657,14,22379,6086,19716,41762,32650,0,0,45,44689,1
165,31,36705,156493,10878,10,22379,6086,19716,41762,32650,0,0,40,44689,1
166,58,3862,159021,594,16,22379,8981,19716,41762,32650,0,0,16,44689,1
167,42,36705,190910,15784,9,22379,6112,19716,41762,32650,0,0,45,44689,0
168,18,36705,41879,15784,9,16117,2072,5125,41762,32650,0,0,25,44689,0
169,58,3136,137249,15784,9,6633,6086,12583,41762,32650,0,0,33,44689,0
170,54,36705,236157,15784,9,22379,8981,19716,41762,32650,0,1887,40,44689,1
171,34,36705,189759,2657,14,16117,8981,12583,41762,32650,0,0,40,44689,0
172,26,36705,239877,8025,13,16117,5611,12583,41762,16192,0,0,40,44689,0
173,61,36705,21175,657,8,22379,6086,19716,41762,32650,0,0,60,44689,0
174,48,3136,67229,2657,14,1530,5611,5125,4685,16192,0,0,40,44689,0
175,36,36705,236391,10878,10,22379,6086,19716,41762,32650,0,0,45,44689,1
176,24,36705,325596,2061,11,22379,3022,19716,41762,32650,0,0,45,44689,0
177,40,36705,83411,10878,10,22379,3022,19716,41762,32650,0,0,37,44689,0
178,33,1695,154227,15784,9,22379,5504,19716,41762,32650,0,0,50,44689,1
179,37,36705,248010,10878,10,22379,3022,19716,41762,32650,0,1887,40,44689,1
180,34,36705,198613,2657,14,16117,6086,7581,41762,32650,4650,0,40,44689,0
181,56,1695,321529,10878,10,22379,6086,19716,41762,32650,15024,0,40,44689,1
182,28,36705,168524,15784,9,22379,8981,7581,41762,16192,0,0,38,44689,1
183,37,36705,203079,8025,13,1518,6086,12583,41762,16192,0,0,55,44689,0
184,44,36705,284652,15784,9,6633,5504,5125,4685,16192,0,0,40,44689,0
185,64,36705,201368,10878,10,22379,8981,19716,41762,32650,0,0,8,44689,0
186,54,36705,59840,15784,9,6633,2072,12583,41762,32650,0,0,45,44689,0
187,23,36705,52753,15784,9,16117,3022,12583,41762,32650,0,0,50,44689,0
188,34,1981,513100,8025,13,628,1490,12583,4685,32650,0,0,40,44689,0
189,22,36705,199266,15784,9,16117,4923,12583,41762,16192,0,0,45,44689,0
190,33,36705,196385,8025,13,22379,6086,19716,41762,32650,0,1977,40,44689,1
191,39,36705,163205,8025,13,1530,8981,12583,41762,32650,0,0,50,44689,1
192,47,36705,411047,10878,10,6633,5611,12583,4685,16192,0,0,37,44689,0
193,79,36705,48574,955,4,1518,8981,12583,41762,32650,0,0,40,44689,0
194,26,36705,209440,15784,9,16117,8981,5125,4685,16192,0,0,55,44689,0
195,31,36705,56964,10878,10,6633,6086,5125,41762,16192,0,0,40,44689,0
196,44,36705,299197,10878,10,16117,2355,12583,41762,32650,0,0,45,44689,0
197,42,1695,240628,834,15,22379,8981,2331,41762,16192,0,0,50,44689,1
198,19,36705,355313,15784,9,16117,3022,12583,41762,16192,0,0,40,44689,0
199,27,36705,132267,15784,9,22379,2072,19716,41762,32650,0,0,40,44689,1
200,51,3136,174861,10878,10,22379,983,19716,41762,32650,0,0,40,44689,1
201,28,1695,142443,8025,13,22379,6086,19716,41762,32650,0,0,50,44689,0
202,57,36705,26716,8025,13,6633,6112,12583,41762,32650,0,0,45,44689,0
203,45,3136,185588,8025,13,6633,8981,5125,41762,16192,0,0,40,44689,0
204,50,36705,175029,2061,11,22379,8981,19716,41762,32650,0,0,40,44689,1
205,34,1695,34848,8025,13,22379,5504,19716,41762,32650,0,0,54,44689,0
206,45,36705,411273,955,4,22379,6112,19716,4685,32650,0,0,40,44689,0
207,73,3136,143437,15784,9,22379,6086,19716,41762,32650,0,0,20,44689,0
208,34,36705,357145,8025,13,22379,8981,2331,41762,16192,0,0,50,44689,1
209,31,36705,236861,10878,10,22379,5504,19716,41762,32650,0,0,55,44689,1
210,19,36705,53355,1812,7,16117,5504,12583,41762,32650,0,0,12,44689,0
211,25,36705,29106,10878,10,16117,4923,7581,41762,16192,0,0,50,44689,0
212,38,1432,213274,2061,11,6633,6112,5125,41762,16192,6497,0,40,44689,0
213,39,36705,22463,8025,13,22379,2355,19716,41762,32650,0,0,40,44689,0
214,23,36705,180497,8025,13,16117,1446,7581,4685,16192,0,0,32,44689,0
215,49,36705,37306,15784,9,22379,3022,19716,41762,32650,0,0,40,44689,0
216,33,1432,137814,15784,9,16117,4923,12583,41762,32650,0,0,32,44689,0
217,21,36705,447488,509,3,16117,3022,1506,41762,32650,0,0,38,951,0
218,31,36705,220915,2061,11,1530,6112,12583,41762,32650,0,0,40,44689,0
219,23,36705,42251,8025,13,16117,6086,12583,41762,16192,0,0,45,44689,0
220,34,36705,162312,8025,13,22379,5611,19716,1519,32650,0,0,40,295,0
221,25,36705,77698,15784,9,16117,3022,12583,1519,16192,0,0,40,295,0
222,39,36705,282951,15784,9,16117,6112,5125,41762,32650,0,0,40,44689,0
223,52,1695,311259,15784,9,22379,5504,19716,41762,32650,0,0,40,44689,1
224,63,3136,65479,756,5,22379,2355,19716,41762,32650,7688,0,40,44689,1
225,41,36705,277256,10878,10,22379,6112,19716,41762,32650,0,0,40,44689,0
226,46,36705,312088,8025,13,22379,8981,19716,41762,32650,15024,0,38,44689,1
227,53,3136,169719,15784,9,22379,6086,19716,41762,32650,0,0,40,44689,0
228,25,36705,270276,756,5,1530,8981,12583,41762,16192,1055,0,40,44689,0
229,77,36705,172744,10878,10,22379,8981,19716,41762,32650,0,0,35,44689,0
230,18,36705,96869,657,8,16117,242,7581,41762,32650,0,0,40,44689,0
231,38,36705,237943,834,15,22379,8981,19716,41762,32650,0,0,50,44689,0
232,55,36705,119751,2657,14,16117,6086,5125,1519,16192,0,0,50,30,0
233,34,36705,236861,15784,9,22379,1446,19716,41762,32650,0,0,40,44689,1
234,80,3862,201092,15784,9,22379,4923,19716,41762,32650,0,0,30,44689,0
235,34,36705,147215,2061,11,6633,1446,5125,41762,16192,0,0,60,44689,0
236,52,36705,152373,10878,10,22379,1446,19716,41762,32650,5013,0,40,44689,0
237,42,36705,227968,15784,9,16117,4923,5125,4685,16192,0,0,28,75,0
238,26,36705,362617,10878,10,16117,5504,12583,41762,16192,0,0,40,44689,0
239,31,36705,103435,15784,9,22379,2355,19716,41762,32650,0,0,40,44689,0
240,25,3136,281412,15784,9,16117,4923,7581,41762,16192,0,0,35,44689,0
241,55,3862,105239,15784,9,22379,6112,19716,41762,32650,0,2057,60,44689,0
242,19,36705,230165,10878,10,16117,4923,7581,41762,16192,0,0,12,44689,0
243,62,3862,177493,10878,10,22379,2355,19716,41762,32650,0,0,32,44689,0
244,22,1432,104443,10878,10,16117,5611,7581,41762,16192,0,0,20,44689,0
245,39,36705,110342,15784,9,22379,8981,2331,41762,16192,0,0,50,44689,0
246,35,36705,143385,15784,9,22379,2072,19716,41762,32650,0,0,40,44689,0
247,28,36705,107189,15784,9,22379,5504,7581,41762,16192,0,0,40,44689,0
248,47,36705,212944,15784,9,22379,2355,19716,41762,32650,0,0,70,44689,1
249,44,1981,138634,15784,9,22379,3022,19716,41762,32650,0,0,40,44689,0
250,21,36705,99970,10878,10,16117,5504,7581,41762,32650,0,0,15,44689,0
251,35,36705,203717,2061,11,16117,6112,12583,41762,32650,0,0,50,44689,0
252,24,36705,313956,8025,13,22379,8981,19716,41762,32650,0,0,40,44689,1
253,42,1432,177937,8025,13,16117,8981,12583,41762,32650,0,0,40,44689,0
254,28,36705,193868,8025,13,16117,1446,7581,41762,32650,0,0,50,44689,0
255,21,36705,250939,10878,10,16117,3022,1506,41762,32650,0,0,35,44689,0
256,62,1432,57629,10878,10,6633,1446,12583,4685,32650,4650,0,40,44689,0
257,39,36705,281768,15784,9,16117,4923,12583,4685,16192,0,0,40,44689,0
258,30,1981,260782,15784,9,16117,4923,12583,41762,32650,0,0,40,44689,0
259,72,3862,243769,834,15,16117,8981,12583,41762,32650,0,1429,20,44689,0
260,50,36705,109937,10878,10,22379,6086,2331,41762,16192,0,0,50,44689,0
261,28,3136,134890,2657,14,16117,8981,12583,41762,32650,0,0,40,44689,0
262,29,36705,100293,10878,10,16117,8981,12583,41762,16192,0,0,40,44689,0
263,26,36705,132179,8025,13,16117,5611,7581,41762,16192,0,0,40,44689,0
264,27,36705,116372,2657,14,16117,6086,12583,41762,16192,0,0,40,44689,0
265,29,36705,255412,10878,10,22379,2072,19716,41762,32650,3103,0,40,44689,1
266,61,36705,195789,15784,9,22379,8981,19716,41762,32650,0,0,40,44689,0
267,29,36705,342400,1389,6,22379,6112,19716,41762,32650,0,0,25,44689,0
268,21,36705,65481,10878,10,16117,8981,7581,41762,16192,0,0,30,44689,0
269,31,36705,169085,1812,7,22379,5504,2331,41762,16192,0,0,20,44689,0
270,25,36705,177221,15784,9,22379,6086,19716,41762,32650,0,0,75,44689,0
271,58,36705,65325,1389,6,22379,2355,19716,41762,32650,0,0,40,44689,1
272,64,36705,118944,10878,10,22379,6086,2331,41762,16192,0,0,40,44689,1
273,46,1981,149337,2657,14,16117,6086,12583,41762,32650,0,0,38,44689,0
274,53,36705,237868,15784,9,22379,8981,19716,41762,32650,0,0,35,44689,1
275,19,36705,106183,15784,9,16117,4923,7581,470,16192,0,0,35,44689,0
276,42,36705,226388,15784,9,6633,4923,12583,4685,32650,0,0,52,44689,0
277,18,36705,220754,1812,7,16117,2072,7581,41762,32650,0,0,24,44689,0
278,58,1695,204021,8025,13,22379,6112,19716,41762,32650,15024,0,50,44689,1
279,20,36705,347391,10878,10,16117,983,12583,4685,32650,0,0,60,44689,0
280,35,1432,413930,15784,9,22379,6112,19716,41762,32650,0,0,40,44689,1
281,32,36705,174201,15784,9,22379,2072,19716,41762,32650,0,0,38,44689,1
282,23,36705,145917,15784,9,16117,2072,12583,41762,16192,0,0,25,44689,0
283,31,36705,241797,10878,10,6633,1446,5125,41762,16192,0,0,40,44689,0
284,33,36705,265168,8025,13,22379,5504,19716,4685,32650,0,0,55,44689,0
285,41,36705,171234,10878,10,16117,3022,12583,41762,16192,0,0,48,44689,0
286,22,36705,178452,15784,9,16117,3022,7581,4685,32650,0,0,40,44689,0
287,46,36705,157857,10878,10,22379,983,19716,41762,32650,0,0,40,44689,1
288,61,1432,512864,10878,10,22379,2355,19716,4685,32650,0,0,40,44689,0
289,30,36705,296462,15784,9,16117,6086,12583,4685,32650,0,0,40,44689,0
290,42,36705,171615,15784,9,22379,6086,19716,41762,32650,0,0,55,44689,1
291,63,36705,214071,1389,6,22379,2072,19716,41762,32650,0,0,40,44689,0
292,26,36705,172421,10878,10,22379,5504,19716,41762,32650,0,0,40,44689,0
293,42,36705,195488,1389,6,6633,5611,5125,41762,16192,0,0,40,44689,0
294,23,36705,316841,10878,10,22379,4923,19716,41762,32650,0,0,40,44689,0
295,25,36705,236267,15784,9,16117,3022,5125,41762,32650,0,1590,40,44689,0
296,30,36705,236543,756,5,22379,4923,19716,41762,32650,0,0,32,155,1
297,23,36705,318483,15784,9,16117,5504,7581,41762,32650,0,0,40,44689,0
298,34,3862,163756,2061,11,16117,1490,12583,41762,32650,27828,0,60,44689,1
299,30,36705,238186,15784,9,22379,3022,1506,41762,32650,0,2057,48,44689,0
300,39,36705,329980,10878,10,22379,6112,19716,41762,32650,0,0,40,44689,1
301,30,36705,169269,1812,7,16117,2072,1506,41762,32650,0,1721,38,184,0
302,38,3136,34744,10878,10,6633,5611,5125,41762,16192,0,0,38,44689,0
303,26,36705,98114,15784,9,6633,6086,7581,41762,16192,0,0,40,44689,0
304,20,36705,109667,10878,10,16117,2072,7581,41762,32650,0,0,16,44689,0
305,37,3136,263690,8025,13,16117,8981,5125,4685,32650,0,0,40,44689,0
306,33,36705,147430,15784,9,22379,5611,7581,41762,16192,0,0,40,44689,0
307,24,36705,224238,8025,13,16117,5611,7581,41762,32650,0,0,40,44689,0
308,42,1695,212894,8025,13,22379,6086,19716,41762,32650,0,0,60,44689,1
309,51,3862,136708,15784,9,22379,5504,19716,1519,32650,3103,0,84,86,0
310,56,3136,38573,1601,12,22379,1446,19716,41762,32650,0,0,45,44689,1
311,22,36705,197200,10878,10,16117,2072,7581,41762,32650,0,0,40,44689,0
312,52,3862,182796,10878,10,22379,1490,19716,41762,32650,0,0,60,44689,0
313,44,36705,184527,8025,13,6633,6086,5125,41762,16192,4934,0,45,44689,1
314,34,36705,145231,15784,9,22379,5611,2331,41762,16192,4064,0,35,44689,0
315,51,36705,43354,10878,10,6633,6112,12583,41762,32650,0,0,42,44689,1
316,20,36705,318865,10878,10,16117,8981,12583,41762,32650,0,0,40,44689,0
317,19,36705,355712,10878,10,16117,5504,12583,41762,16192,0,0,25,44689,0
318,37,36705,98776,8025,13,22379,6086,19716,41762,32650,0,0,40,44689,1
319,68,36705,257557,15784,9,22379,3022,19716,4685,32650,0,0,40,44689,1
320,22,36705,102258,10878,10,6633,983,12583,41762,32650,0,0,40,44689,0
321,56,1695,170287,8025,13,22379,6086,19716,41762,32650,0,0,40,44689,0
322,37,36705,243409,15784,9,22379,6112,19716,41762,32650,0,0,40,44689,0
323,52,36705,55608,247,2,22379,3022,19716,41762,32650,0,0,40,951,0
324,26,36705,248057,15784,9,1530,2072,7581,41762,32650,0,0,40,184,0
325,33,36705,95530,2657,14,22379,8981,19716,41762,32650,0,0,50,44689,0
326,45,3136,54038,2657,14,6633,8981,5125,41762,16192,0,0,42,44689,0
327,18,36705,161245,1812,7,16117,4923,7581,41762,32650,0,0,15,44689,0
328,43,3862,388725,10878,10,22379,1490,19716,41762,32650,0,0,60,44689,1
329,64,3862,71807,594,16,22379,8981,19716,41762,32650,15024,0,50,44689,1
330,18,36705,228216,15784,9,16117,2072,7581,41762,32650,0,0,20,44689,0
331,20,36705,303121,10878,10,16117,8981,7581,41762,32650,0,0,45,44689,0
332,57,36705,78020,15784,9,22379,6112,19716,41762,32650,0,0,40,44689,1
333,41,36705,249254,15784,9,6633,5611,5125,41762,16192,3674,0,42,44689,0
334,34,36705,87218,2657,14,22379,6086,19716,41762,32650,0,1887,50,44689,1
335,19,36705,304299,15784,9,16117,5504,5125,41762,16192,0,0,40,44689,0
336,44,36705,196234,756,5,6633,4923,5125,41762,16192,0,0,55,103,0
337,56,36705,197875,1389,6,1518,4923,5125,41762,16192,0,0,40,44689,0
