,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,income
60,1,2,1,0,1,0,2,1,30,101135,13,0,0,50,0
61,1,1,0,0,0,3,2,1,39,118429,10,0,0,40,0
62,1,2,1,0,0,0,2,2,26,31208,14,0,0,40,0
63,0,3,1,0,1,0,2,1,33,281384,9,0,0,40,0
64,1,1,1,0,0,1,2,2,47,171807,9,0,0,40,0
65,2,2,0,0,1,0,2,1,41,109912,13,0,0,40,0
66,2,0,1,1,0,2,2,0,41,445382,12,15024,0,60,1
67,1,3,0,0,0,1,2,1,19,105460,10,0,0,20,0
68,1,1,1,1,0,1,3,0,46,170338,9,0,0,40,0
69,1,1,1,1,0,2,2,0,43,102606,9,0,0,48,0
70,1,1,1,1,0,1,2,1,55,323887,10,15024,0,45,1
71,1,1,0,2,0,1,3,0,46,175622,11,0,0,40,0
72,1,2,1,1,1,1,1,0,30,229636,9,0,0,40,0
73,1,1,1,0,0,0,3,2,21,388946,10,0,0,40,0
74,1,1,1,1,0,2,0,2,46,269034,10,0,0,40,0
75,2,3,0,0,0,1,2,0,17,165361,6,0,0,40,0
76,1,1,1,1,1,1,2,0,41,75012,9,0,0,50,0
77,2,0,1,1,0,2,2,0,69,174379,9,0,0,30,0
78,1,1,1,2,0,1,2,0,50,312477,9,0,0,40,0
79,1,2,0,0,0,0,2,3,20,72055,10,0,0,40,0
80,2,0,0,1,1,1,2,1,45,67001,10,0,0,50,0
81,1,2,1,0,1,1,2,0,23,213734,13,0,0,40,0
82,2,1,0,0,0,1,3,1,24,83141,10,0,1876,40,0
83,2,0,2,1,0,1,2,0,44,223881,9,99999,0,50,1
84,1,0,1,1,0,2,2,1,31,113752,10,0,0,50,0
85,1,1,1,0,1,0,3,1,43,170482,9,0,0,44,0
86,2,2,0,0,0,0,2,2,20,244689,7,0,0,10,0
87,1,1,1,1,0,2,2,0,55,160631,9,0,0,56,1
88,2,1,0,0,0,2,2,1,24,228724,10,0,0,40,0
89,1,1,0,1,0,1,2,2,41,38434,14,7688,0,10,1
90,1,2,1,0,1,0,2,1,59,292946,13,0,0,25,0
91,4,1,0,0,0,1,2,0,49,77443,4,0,0,20,0
92,1,1,0,1,0,1,2,2,33,176410,14,5178,0,10,1
93,2,0,0,0,1,2,2,1,59,98984,13,0,0,40,0
94,2,2,0,0,0,1,2,1,34,198751,14,0,0,40,0
95,0,3,2,0,0,1,2,0,20,479296,9,0,0,40,0
96,0,3,1,0,1,0,2,1,25,235218,13,0,0,40,0
97,2,1,0,2,0,1,2,0,49,164877,6,0,0,40,0
98,1,1,1,2,0,1,2,0,59,272087,9,0,0,40,1
99,1,2,1,0,0,0,2,2,20,169699,9,0,0,40,0
100,1,1,0,1,0,1,2,2,51,189762,10,0,0,18,0
101,0,2,0,0,0,0,3,3,33,202191,10,0,0,35,0
102,0,3,0,1,0,1,2,1,22,212261,10,0,0,39,0
103,2,0,0,0,0,2,2,2,58,301568,5,0,0,40,0
104,0,1,1,0,0,1,3,2,52,155233,9,0,0,28,0
105,2,1,0,0,1,0,3,1,36,75826,6,0,0,40,0
106,1,1,1,1,0,2,2,0,41,201520,9,0,0,40,0
107,0,3,1,1,0,1,2,0,28,154236,9,2597,0,40,0
108,0,3,1,0,0,1,2,1,19,289227,10,0,0,16,0
109,2,2,1,0,0,0,2,1,18,217439,9,0,0,28,0
110,0,3,1,0,1,0,2,1,18,179020,9,0,0,48,0
111,1,1,1,1,0,1,2,1,28,149624,10,0,0,40,0
112,1,1,1,2,0,1,2,0,29,337266,11,0,0,40,1
113,1,3,1,0,0,0,2,1,20,30796,9,0,0,20,0
114,1,1,1,1,0,1,2,1,40,103541,10,0,0,40,0
115,0,2,2,0,0,1,3,0,26,206721,9,0,0,40,0
116,1,1,2,1,0,1,2,0,46,96773,9,0,0,40,0
117,2,2,0,0,0,0,2,2,23,200967,7,0,0,24,0
118,0,1,1,0,0,1,3,2,44,180019,9,0,0,40,0
119,0,1,0,0,1,2,3,1,43,179866,13,0,0,40,1
120,1,1,0,0,1,1,3,1,31,198770,13,0,0,60,0
121,0,3,0,0,0,1,2,2,18,219256,10,0,0,25,0
122,0,3,0,0,0,2,2,1,19,248730,10,0,0,30,0
123,1,1,0,0,0,1,3,2,41,110732,10,0,0,40,0
124,0,1,2,0,0,1,3,1,41,181020,9,0,0,40,0
125,1,1,1,0,0,1,2,2,69,183791,9,0,0,25,0
126,2,0,0,1,1,1,2,1,48,42972,16,0,0,40,1
127,1,3,1,0,0,1,2,0,28,134813,9,0,0,40,0
128,1,0,2,2,0,2,1,0,27,115438,9,0,0,60,1
129,2,1,0,1,0,1,2,1,41,239296,14,0,2415,50,1
130,1,1,0,1,0,1,2,2,41,428420,10,0,0,40,0
131,0,2,2,0,0,0,3,1,24,247846,9,0,0,40,0
132,2,2,1,0,0,0,2,1,20,334105,9,0,0,40,0
133,3,0,0,1,1,1,2,0,42,100793,16,0,0,41,1
134,1,1,2,1,0,1,2,0,57,244478,9,0,0,48,0
135,2,2,0,0,0,1,2,1,30,142921,12,0,0,40,0
136,1,1,1,1,0,2,2,0,36,182863,9,0,0,60,1
137,2,1,0,1,1,1,2,0,49,171128,4,0,0,40,0
138,0,1,1,1,1,1,2,1,33,145402,9,0,0,35,0
139,2,1,0,2,0,1,2,0,23,306309,6,0,0,40,0
140,2,1,0,1,0,1,2,1,46,83822,14,0,0,40,0
141,0,4,0,0,0,0,0,4,18,262118,10,0,0,22,0
142,1,1,2,1,0,1,2,0,40,155972,9,7688,0,55,1
143,2,0,2,1,0,1,2,0,43,214503,9,0,1887,45,1
144,1,3,0,0,0,0,2,2,34,159303,14,0,0,30,0
145,1,0,2,0,0,2,2,1,47,174995,9,0,0,30,0
146,0,1,1,1,0,1,3,1,44,26669,11,0,0,30,0
147,1,1,1,1,0,2,2,0,33,177727,9,0,0,40,1
148,1,1,1,1,1,1,2,0,55,124771,13,15024,0,50,1
149,1,2,1,0,0,2,2,0,19,456736,9,2907,0,30,0
150,2,2,0,0,0,1,2,1,28,216604,10,0,0,14,0
151,1,1,0,1,0,1,2,2,27,221561,7,0,0,32,0
152,2,1,0,1,1,1,2,0,50,114564,4,0,0,20,0
153,0,2,1,0,0,1,3,1,22,315476,7,0,0,40,0
154,2,0,0,1,1,1,2,1,40,67874,13,0,1887,45,1
155,0,3,0,0,0,0,2,3,25,126110,10,0,0,40,0
156,1,2,2,0,0,1,2,0,26,102264,9,0,0,40,0
157,1,2,0,0,1,2,2,0,22,537222,13,0,0,25,0
158,0,2,1,0,0,0,3,2,42,113732,10,0,625,40,0
159,2,0,1,0,1,2,2,0,38,93225,13,0,0,40,0
160,2,1,0,1,0,1,2,1,55,43064,7,0,0,30,0
161,1,1,1,1,0,2,2,0,32,136921,9,0,0,40,0
162,1,1,2,1,0,1,2,0,22,388885,9,0,0,45,0
163,0,3,0,0,1,2,2,0,29,142249,13,0,0,40,0
164,2,0,1,1,0,1,2,1,46,56841,14,0,0,45,1
165,1,1,1,1,0,1,2,1,31,156493,10,0,0,40,1
166,2,0,0,1,1,2,2,0,58,159021,16,0,0,16,1
167,1,1,2,1,0,1,2,0,42,190910,9,0,0,45,0
168,0,2,2,0,0,1,3,0,18,41879,9,0,0,25,0
169,1,1,2,0,0,2,2,0,58,137249,9,0,0,33,0
170,2,1,1,1,0,1,2,0,54,236157,9,0,1887,40,1
171,2,2,0,0,0,1,2,1,34,189759,14,0,0,40,0
172,1,2,0,0,1,0,2,2,26,239877,13,0,0,40,0
173,1,1,1,1,0,1,3,0,61,21175,8,0,0,60,0
174,0,1,0,0,0,0,4,3,48,67229,14,0,0,40,0
175,1,1,1,1,0,1,2,1,36,236391,10,0,0,45,1
176,1,1,0,2,1,1,2,0,24,325596,11,0,0,45,0
177,1,1,0,1,1,1,2,1,40,83411,10,0,0,37,0
178,2,0,1,1,0,2,2,0,33,154227,9,0,0,50,1
179,1,1,0,1,1,1,2,1,37,248010,10,0,1887,40,1
180,0,3,1,0,0,1,2,1,34,198613,14,4650,0,40,0
181,2,0,1,1,0,1,2,1,56,321529,10,15024,0,40,1
182,1,2,1,1,0,0,2,1,28,168524,9,0,0,38,1
183,1,1,1,0,1,1,2,1,37,203079,13,0,0,55,0
184,0,1,1,0,0,2,3,1,44,284652,9,0,0,40,0
185,2,1,0,1,0,1,2,1,64,201368,10,0,0,8,0
186,1,1,2,0,0,2,2,0,54,59840,9,0,0,45,0
187,1,2,1,0,1,1,2,0,23,52753,9,0,0,50,0
188,2,0,0,1,1,2,2,0,34,513100,13,0,0,40,0
189,2,2,1,0,0,0,2,1,22,199266,9,0,0,45,0
190,1,1,1,1,1,1,2,0,33,196385,13,0,1977,40,1
191,2,1,0,0,1,1,3,0,39,163205,13,0,0,50,1
192,1,1,0,0,0,1,2,3,47,411047,10,0,0,37,0
193,3,1,0,0,0,2,2,0,79,48574,4,0,0,40,0
194,1,2,1,0,0,0,3,1,26,209440,9,0,0,55,0
195,0,1,1,0,0,1,3,2,31,56964,10,0,0,40,0
196,1,2,0,1,0,1,2,1,44,299197,10,0,0,45,0
197,2,0,0,1,1,1,2,1,42,240628,15,0,0,50,1
198,1,2,1,0,1,0,2,1,19,355313,9,0,0,40,0
199,1,1,2,1,0,1,2,0,27,132267,9,0,0,40,1
200,1,1,0,1,0,2,2,1,51,174861,10,0,0,40,1
201,2,0,1,1,1,1,2,0,28,142443,13,0,0,50,0
202,1,1,1,0,1,2,2,0,57,26716,13,0,0,45,0
203,1,1,0,0,1,1,3,1,45,185588,13,0,0,40,0
204,2,1,0,2,0,1,2,0,50,175029,11,0,0,40,1
205,2,0,0,1,1,2,2,0,34,34848,13,0,0,54,0
206,2,1,1,1,0,1,2,0,45,411273,4,0,0,40,0
207,1,1,2,1,0,1,2,0,73,143437,9,0,0,20,0
208,1,1,0,1,1,1,2,1,34,357145,13,0,0,50,1
209,1,1,0,1,0,2,2,1,31,236861,10,0,0,55,1
210,1,2,0,0,0,2,2,1,19,53355,7,0,0,12,0
211,1,3,0,0,0,0,2,2,25,29106,10,0,0,50,0
212,1,0,1,1,0,1,3,1,38,213274,11,6497,0,40,0
213,1,1,0,2,1,1,2,0,39,22463,13,0,0,40,0
214,0,3,0,0,1,0,3,1,23,180497,13,0,0,32,0
215,1,1,1,1,1,1,2,0,49,37306,9,0,0,40,0
216,3,1,1,0,0,1,2,0,33,137814,9,0,0,32,0
217,0,3,1,0,1,2,1,0,21,447488,3,0,0,38,0
218,1,1,1,1,0,1,3,0,31,220915,11,0,0,40,0
219,1,2,1,0,1,0,2,1,23,42251,13,0,0,45,0
220,1,2,1,1,1,1,0,1,34,162312,13,0,0,40,0
221,1,3,2,0,1,0,0,1,25,77698,9,0,0,40,0
222,0,2,2,0,0,1,3,0,39,282951,9,0,0,40,0
223,2,0,1,1,0,2,2,0,52,311259,9,0,0,40,1
224,1,1,0,2,0,1,2,1,63,65479,5,7688,0,40,1
225,1,1,1,1,0,1,2,1,41,277256,10,0,0,40,0
226,2,1,0,1,1,1,2,0,46,312088,13,15024,0,38,1
227,1,1,2,1,0,1,2,0,53,169719,9,0,0,40,0
228,2,1,0,0,0,0,3,2,25,270276,5,1055,0,40,0
229,2,1,0,1,0,1,2,1,77,172744,10,0,0,35,0
230,0,3,0,0,1,1,3,0,18,96869,8,0,0,40,0
231,2,1,0,1,1,1,2,0,38,237943,15,0,0,50,0
232,0,3,2,0,0,0,1,2,55,119751,14,0,0,50,0
233,1,1,1,1,0,1,3,0,34,236861,9,0,0,40,1
234,2,0,1,1,0,2,2,0,80,201092,9,0,0,30,0
235,0,1,0,1,0,1,4,1,34,147215,11,0,0,60,0
236,1,1,0,1,0,1,3,1,52,152373,10,5013,0,40,0
237,1,2,1,0,1,0,2,1,42,227968,9,0,0,28,0
238,1,2,0,0,0,1,2,2,26,362617,10,0,0,40,0
239,1,1,1,2,0,1,2,0,31,103435,9,0,0,40,0
240,1,3,1,0,0,0,2,1,25,281412,9,0,0,35,0
241,1,0,2,1,0,2,2,0,55,105239,9,0,2057,60,0
242,1,3,0,0,0,0,2,2,19,230165,10,0,0,12,0
243,1,0,0,2,0,2,2,1,62,177493,10,0,0,32,0
244,1,2,0,0,0,0,2,3,22,104443,10,0,0,20,0
245,1,1,1,1,0,1,2,1,39,110342,9,0,0,50,0
246,1,1,2,1,0,1,2,0,35,143385,9,0,0,40,0
247,0,2,1,1,0,1,2,1,28,107189,9,0,0,40,0
248,1,1,1,2,0,1,2,0,47,212944,9,0,0,70,1
249,2,0,1,1,1,1,2,0,44,138634,9,0,0,40,0
250,0,3,0,0,0,2,2,1,21,99970,10,0,0,15,0
251,1,2,1,1,0,1,2,0,35,203717,11,0,0,50,0
252,2,1,0,1,1,1,2,0,24,313956,13,0,0,40,1
253,3,1,0,0,1,1,2,0,42,177937,13,0,0,40,0
254,0,3,0,0,1,1,3,0,28,193868,13,0,0,50,0
255,0,2,0,0,1,2,2,1,21,250939,10,0,0,35,0
256,2,0,0,0,0,2,3,1,62,57629,10,4650,0,40,0
257,2,2,1,0,0,0,2,1,39,281768,9,0,0,40,0
258,3,1,1,0,0,1,2,0,30,260782,9,0,0,40,0
259,2,1,0,0,1,2,2,0,72,243769,15,0,1429,20,0
260,0,1,1,1,0,1,2,2,50,109937,10,0,0,50,0
261,2,2,0,0,0,1,2,1,28,134890,14,0,0,40,0
262,2,2,0,0,0,0,2,2,29,100293,10,0,0,40,0
263,0,3,0,0,1,0,2,2,26,132179,13,0,0,40,0
264,1,2,1,0,0,0,2,2,27,116372,14,0,0,40,0
265,1,1,1,1,0,1,2,1,29,255412,10,3103,0,40,1
266,2,1,1,1,0,1,2,0,61,195789,9,0,0,40,0
267,2,1,1,1,0,1,2,0,29,342400,6,0,0,25,0
268,1,3,0,0,0,0,2,2,21,65481,10,0,0,30,0
269,0,1,0,1,0,2,2,2,31,169085,7,0,0,20,0
270,1,1,2,1,0,1,2,0,25,177221,9,0,0,75,0
271,2,1,0,2,0,1,2,0,58,65325,6,0,0,40,1
272,0,1,1,1,0,1,2,2,64,118944,10,0,0,40,1
273,2,1,1,0,0,1,2,1,46,149337,14,0,0,38,0
274,2,1,1,1,0,1,2,0,53,237868,9,0,0,35,1
275,1,3,1,0,0,0,2,1,19,106183,9,0,0,35,0
276,2,1,1,0,0,2,2,0,42,226388,9,0,0,52,0
277,0,3,1,0,0,1,2,1,18,220754,7,0,0,24,0
278,2,0,1,1,1,1,2,0,58,204021,13,15024,0,50,1
279,1,2,0,0,0,2,2,1,20,347391,10,0,0,60,0
280,2,0,2,1,0,1,2,0,35,413930,9,0,0,40,1
281,1,1,2,1,0,1,2,0,32,174201,9,0,0,38,1
282,1,2,2,0,0,0,2,1,23,145917,9,0,0,25,0
283,0,1,0,0,0,1,4,2,31,241797,10,0,0,40,0
284,1,1,0,1,1,2,2,0,33,265168,13,0,0,55,0
285,1,2,0,0,1,0,2,2,41,171234,10,0,0,48,0
286,0,3,1,0,1,1,2,0,22,178452,9,0,0,40,0
287,1,1,0,1,0,2,2,1,46,157857,10,0,0,40,1
288,2,0,0,2,0,1,2,1,61,512864,10,0,0,40,0
289,1,2,2,0,0,1,2,0,30,296462,9,0,0,40,0
290,1,1,2,1,0,1,2,0,42,171615,9,0,0,55,1
291,2,1,1,1,0,1,2,0,63,214071,6,0,0,40,0
292,1,1,0,1,0,2,2,1,26,172421,10,0,0,40,0
293,1,1,0,0,0,1,3,2,42,195488,6,0,0,40,0
294,2,1,0,1,0,1,2,1,23,316841,10,0,0,40,0
295,0,2,1,0,1,1,3,0,25,236267,9,0,1590,40,0
296,2,2,0,1,0,1,1,1,30,236543,5,0,0,32,1
297,0,3,1,0,0,2,2,0,23,318483,9,0,0,40,0
298,1,1,0,2,0,2,2,0,34,163756,11,27828,0,60,1
299,0,1,1,1,1,2,2,0,30,238186,9,0,2057,48,0
300,1,1,1,1,0,1,2,1,39,329980,10,0,0,40,1
301,0,2,1,0,0,3,1,1,30,169269,7,0,1721,38,0
302,0,1,0,0,0,1,3,3,38,34744,10,0,0,38,0
303,0,2,2,0,0,1,2,1,26,98114,9,0,0,40,0
304,0,3,1,0,0,1,2,1,20,109667,10,0,0,16,0
305,1,2,0,0,1,1,3,0,37,263690,13,0,0,40,0
306,0,2,1,1,0,0,2,2,33,147430,9,0,0,40,0
307,0,3,0,0,1,1,2,1,24,224238,13,0,0,40,0
308,2,0,1,1,1,1,2,0,42,212894,13,0,0,60,1
309,1,2,1,1,0,3,0,0,51,136708,9,3103,0,84,0
310,1,1,0,1,0,2,3,0,56,38573,12,0,0,45,1
311,0,3,1,0,0,1,2,1,22,197200,10,0,0,40,0
312,1,0,0,2,0,2,2,1,52,182796,10,0,0,60,0
313,0,1,1,0,1,1,3,1,44,184527,13,4934,0,45,1
314,0,1,1,1,0,1,2,2,34,145231,9,4064,0,35,0
315,1,1,1,0,0,2,2,1,51,43354,10,0,0,42,1
316,2,2,0,0,0,1,2,1,20,318865,10,0,0,40,0
317,1,2,0,0,0,1,2,2,19,355712,10,0,0,25,0
318,1,1,1,1,1,1,2,0,37,98776,13,0,0,40,1
319,1,1,1,1,1,1,2,0,68,257557,9,0,0,40,1
320,1,1,0,0,0,3,2,1,22,102258,10,0,0,40,0
321,2,0,1,1,1,1,2,0,56,170287,13,0,0,40,0
322,1,1,2,1,0,1,2,0,37,243409,9,0,0,40,0
323,1,3,0,1,1,1,1,0,52,55608,2,0,0,40,0
324,0,2,2,0,0,2,2,0,26,248057,9,0,0,40,0
325,2,1,0,1,0,1,2,1,33,95530,14,0,0,50,0
326,1,1,0,0,0,1,3,2,45,54038,14,0,0,42,0
327,1,3,0,0,0,1,2,1,18,161245,7,0,0,15,0
328,1,0,0,2,0,2,2,1,43,388725,10,0,0,60,1
329,2,0,0,1,1,2,2,0,64,71807,16,15024,0,50,1
330,0,3,2,0,0,1,2,0,18,228216,9,0,0,20,0
331,1,3,0,0,0,1,2,1,20,303121,10,0,0,45,0
332,1,1,2,1,0,1,2,0,57,78020,9,0,0,40,1
333,0,1,1,0,0,1,3,2,41,249254,9,3674,0,42,0
334,1,1,1,1,0,1,2,1,34,87218,14,0,1887,50,1
335,0,2,1,0,0,1,3,1,19,304299,9,0,0,40,0
336,1,1,0,0,0,2,2,2,44,196234,5,0,0,55,0
337,2,1,0,0,0,1,3,1,56,197875,6,0,0,40,0
338,2,0,1,2,0,1,2,0,36,48063,9,0,0,80,0
339,0,1,1,0,1,1,3,1,48,253596,13,0,0,48,0
340,1,1,1,2,0,1,2,0,29,39257,9,0,0,40,1
341,1,2,1,0,1,1,2,0,33,56150,13,2174,0,40,0
342,2,2,1,1,0,1,1,0,31,179415,3,0,0,40,0
343,2,1,0,1,0,1,2,1,39,252445,14,0,0,45,1
344,1,1,2,1,0,1,2,0,66,275918,9,10605,0,40,1
345,2,2,0,0,1,0,2,1,27,106562,13,0,0,50,1
346,0,1,2,0,0,1,3,1,39,198654,9,99999,0,40,1
347,2,1,1,1,0,1,2,0,59,107318,4,5178,0,50,1
348,1,3,1,0,0,0,2,1,26,181896,9,0,0,40,0
349,0,1,1,1,0,2,3,0,31,106014,11,0,0,40,0
350,1,2,1,0,0,1,2,1,45,319993,9,0,0,40,0
351,0,3,2,0,0,1,2,0,23,197997,9,0,0,30,0
352,0,1,1,0,0,1,3,2,36,173542,9,0,0,40,0
353,1,1,0,1,0,1,2,2,34,207564,10,0,0,12,1
354,1,1,1,2,0,1,2,0,32,224462,9,0,0,84,1
355,2,1,0,1,1,1,2,0,37,123361,13,0,0,50,1
356,1,2,0,0,1,2,2,0,33,90409,13,0,0,45,0
357,2,0,0,1,1,2,2,0,50,165001,15,99999,0,80,1
358,2,1,0,0,0,3,2,0,32,149573,12,0,0,40,0
359,0,3,0,0,1,0,2,2,35,249456,13,0,0,40,0
360,1,1,1,1,0,1,2,1,37,149898,7,0,0,40,0
361,1,1,1,0,0,2,2,1,44,292985,10,0,0,60,0
362,0,1,1,0,0,3,2,1,57,50223,10,0,0,25,0
363,0,2,1,1,0,0,2,2,29,400074,10,0,0,40,0
364,1,1,2,1,0,1,2,0,55,197399,9,0,0,50,1
365,3,0,0,1,1,1,2,0,43,209547,15,0,0,25,1
366,1,1,0,1,0,2,2,1,43,52433,10,0,0,70,0
367,1,0,0,1,0,3,2,1,45,355978,10,0,0,60,1
368,1,0,0,1,0,2,2,2,33,48214,14,0,0,8,0
369,2,1,0,0,0,1,2,2,26,190873,6,0,0,40,0
370,1,1,0,1,0,2,2,1,23,278390,10,0,0,68,0
371,2,2,1,0,0,1,2,0,41,203217,4,0,0,40,0
372,1,1,2,1,0,1,2,0,24,279175,9,0,0,40,0
373,1,0,0,1,1,3,2,0,47,194590,13,0,0,44,0
374,0,2,2,0,0,2,2,0,34,198813,9,0,0,45,0
375,1,1,2,1,0,1,2,0,40,187294,9,0,0,40,1
376,1,2,0,1,1,1,1,1,28,302903,13,0,1485,40,0
377,0,4,2,0,0,1,0,1,24,154835,9,0,0,40,0
378,2,1,0,1,0,1,2,1,73,73402,10,0,0,10,0
379,0,2,2,0,0,2,2,0,23,100345,9,0,0,15,0
380,1,0,2,1,0,2,2,0,43,126320,9,0,0,40,1
381,1,1,0,0,1,1,3,1,26,142226,13,0,0,40,0
382,0,0,1,0,1,2,3,1,58,112076,16,0,1485,35,1
383,0,1,1,0,0,1,3,2,52,225339,9,0,0,35,0
384,1,1,0,2,0,1,2,1,29,211208,7,0,0,99,1
385,2,1,0,1,1,1,1,1,47,200808,7,0,0,35,0
386,0,1,1,0,0,1,3,2,49,220618,9,0,0,37,0
387,0,1,0,0,0,1,3,3,40,210493,7,0,0,40,0
388,0,0,1,1,0,2,2,2,62,369734,9,0,0,40,0
389,1,1,2,1,0,1,2,0,49,27898,9,0,1977,55,1
390,1,1,0,0,1,2,2,1,50,138193,13,0,0,50,1
391,0,3,1,1,0,1,2,0,31,224234,9,0,0,40,0
392,2,2,0,0,0,0,2,2,48,188741,14,0,0,50,0
393,0,2,2,0,0,0,3,1,24,183772,9,0,0,40,0
394,1,3,1,0,0,0,2,1,41,155041,9,3418,0,40,0
395,0,3,1,0,1,1,2,0,37,79586,9,0,0,60,0
396,1,2,1,2,1,1,0,0,45,355781,13,0,0,45,1
397,2,1,1,1,0,1,2,0,63,156158,9,0,0,16,0
398,1,2,1,2,0,1,0,1,36,116358,14,0,0,45,0
399,1,1,1,1,1,1,2,0,45,59287,13,0,0,40,0
400,1,2,0,0,1,1,2,1,41,138868,13,0,0,40,0
401,0,2,0,0,0,2,3,1,26,185885,12,0,0,20,0
402,0,3,0,0,0,1,2,2,17,40299,7,0,0,25,0
403,2,1,1,1,0,1,2,0,27,500068,9,0,0,36,0
404,1,1,1,1,1,1,2,0,43,51494,9,0,0,65,0
405,0,3,1,1,0,1,2,0,35,179481,9,0,0,55,0
406,0,1,0,0,1,1,3,2,38,365907,13,0,0,40,0
407,1,2,1,0,1,1,2,0,26,284343,9,0,0,40,0
408,0,3,1,0,0,0,2,2,28,204862,10,0,0,40,0
409,1,1,0,1,1,1,2,1,38,272476,13,0,0,24,1
410,0,1,0,1,0,1,3,2,36,175130,7,0,0,40,0
411,0,1,1,1,0,1,2,2,33,118941,9,0,0,40,1
412,0,3,2,0,0,1,2,0,19,164339,9,1055,0,70,0
413,1,3,0,0,0,2,2,0,22,213291,12,0,0,25,0
414,3,1,0,1,0,1,1,1,42,55457,6,0,0,40,0
415,2,1,0,2,0,1,2,0,50,280292,6,0,0,40,1
416,1,1,2,1,0,1,2,0,30,446894,9,0,0,30,0
417,3,1,0,1,0,2,0,1,37,67083,10,0,0,40,0
